index,id,title,event,source_type,author,origin,meta,content_type,writeup_type,category1_id,view_count,detail_url,link
#001,18a61ab6-dc61-4198-914c-96a961d8924a,2026聚合獬豸杯-服务器,2025獬豸杯,站内,怪叔叔,,63 次浏览,markdown,original,156,63,https://forensics.didctf.com/practice/writeups/18a61ab6-dc61-4198-914c-96a961d8924a,
#002,14597919-a95e-4811-befb-03ea45b6613e,2026 平航杯团队赛wp,2026平航杯团队赛,外链,ΛrTI_,语雀,19 次浏览,link,other,227,19,https://forensics.didctf.com/practice/writeups/14597919-a95e-4811-befb-03ea45b6613e,https://www.yuque.com/u59535634/ul9rm3/ai87w9su6zd6cw02?singleDoc# 《Group √》
#003,cf3da1a7-cd7d-4b3b-b60b-0698378c1136,2026盘古石杯线下计算机全解,2026盘古石杯 初赛,外链,WeiGuang,WeiGuang取证,115 次浏览,link,wechat,239,115,https://forensics.didctf.com/practice/writeups/cf3da1a7-cd7d-4b3b-b60b-0698378c1136,https://mp.weixin.qq.com/s/Q6Bdd4RHbBddVhC2wCO_Mg
#004,f0370423-f176-464f-acbf-4473afa11e9a,2026盘古石杯初赛WP,2026盘古石杯 初赛,外链,李逍遥,,133 次浏览,link,other,239,133,https://forensics.didctf.com/practice/writeups/f0370423-f176-464f-acbf-4473afa11e9a,https://www.speedforensic.cn/learning-wiki?article=13
#005,cf1b39a0-5860-43b2-858f-e76051e35591,2026 盘古石预赛 — PVE 集群服务器取证完整解题报告（最终版）,2026盘古石杯 初赛,站内,yagami,,44 次浏览,markdown,original,239,44,https://forensics.didctf.com/practice/writeups/cf1b39a0-5860-43b2-858f-e76051e35591,
#006,fcca0da9-c84c-4d8e-9d16-511a26474b34,2026盘古石杯初赛wp,2026盘古石杯 初赛,外链,werewolfcjj,个人飞书,52 次浏览,link,other,239,52,https://forensics.didctf.com/practice/writeups/fcca0da9-c84c-4d8e-9d16-511a26474b34,https://my.feishu.cn/wiki/BoNGwYaulidZvXkP6Yfclz76n2f
#007,095d40ab-913c-43e6-88e7-dbf812a4a24a,2026盘古石pgs初赛WP（无物联网）,2026盘古石杯 初赛,外链,RannCezx,RannCezx,58 次浏览,link,personal,239,58,https://forensics.didctf.com/practice/writeups/095d40ab-913c-43e6-88e7-dbf812a4a24a,https://ranncezx.github.io/RannCezx/post.html?id=1#q-11-1170
#008,bab8bcc3-5fb9-49e7-8c61-44d5cef7d222,2025平航杯,2025平航杯,外链,,Rhea_zzzz,84 次浏览,link,csdn,1,84,https://forensics.didctf.com/practice/writeups/bab8bcc3-5fb9-49e7-8c61-44d5cef7d222,https://blog.csdn.net/Rhea_zzzz/article/details/159929467?spm=1001.2014.3001.5502
#009,a1b9784a-85dc-437d-a054-803b7c9cbed7,2026平航杯,2026平航杯团队赛,外链,,Rhea_zzzz,71 次浏览,link,csdn,227,71,https://forensics.didctf.com/practice/writeups/a1b9784a-85dc-437d-a054-803b7c9cbed7,https://blog.csdn.net/Rhea_zzzz/article/details/160260933?spm=1001.2014.3001.5502
#010,faad9d8e-3814-416c-859c-93bf4029b3dd,2025FIC决赛,2025FIC 决赛,外链,,WXjzc,128 次浏览,link,blogcn,44,128,https://forensics.didctf.com/practice/writeups/faad9d8e-3814-416c-859c-93bf4029b3dd,https://www.cnblogs.com/WXjzc/p/18901128
